iter	MultiClass
136	0.383076887
137	0.3819996197
138	0.3808888822
139	0.3804161238
140	0.3789521727
141	0.3777801039
142	0.3767898692
143	0.3760098295
144	0.3754235899
145	0.3732925176
146	0.3721458397
147	0.3712680867
148	0.370441045
149	0.3696290457
150	0.368513853
151	0.3678831218
152	0.366711698
153	0.3659865965
154	0.3647409949
155	0.3639856852
156	0.3629468516
157	0.3620252052
158	0.3614885217
159	0.3611070418
160	0.3604312674
161	0.3598827864
162	0.3583196377
163	0.3578290513
164	0.3567040934
165	0.3557730386
166	0.3547119857
167	0.3539843567
168	0.3524569907
169	0.3518184949
170	0.3510446012
171	0.3494767369
172	0.3476401633
173	0.3462158765
174	0.3452563254
175	0.3446379014
176	0.3434321847
177	0.3429061861
178	0.3421936565
179	0.3408035633
180	0.3400576271
181	0.3392185282
182	0.3387035004
183	0.3374849915
184	0.3368264453
185	0.3355757997
186	0.3352629519
187	0.3348583842
188	0.3345379302
189	0.3337521853
190	0.3331554653
191	0.331759201
192	0.3310342088
193	0.3297919025
194	0.3292237624
195	0.3283662172
196	0.3279995047
197	0.3271876439
198	0.3264782705
199	0.3255849233
200	0.3248268308
201	0.3242445822
202	0.323564616
203	0.3224401524
204	0.3218503148
205	0.3216365441
206	0.3207139726
207	0.3202429238
208	0.3198790783
209	0.319482164
210	0.3191972443
211	0.3189651932
212	0.3185048274
213	0.3181492796
214	0.3177018644
215	0.3171511011
216	0.3165672548
217	0.3155138666
218	0.3152335278
219	0.3139993949
220	0.3127962953
221	0.311856683
222	0.3112923536
223	0.3109398633
224	0.3105671359
225	0.3099231801
226	0.3096241098
227	0.3088568602
228	0.3083972453
229	0.3079443872
230	0.3074765293
231	0.3066125911
232	0.3060683834
233	0.3056060175
234	0.3050057185
235	0.3040706087
236	0.3033631634
237	0.3031016325
238	0.3026103466
239	0.3020973614
240	0.3013470109
241	0.3008467477
242	0.3003036766
243	0.299196678
244	0.2985692546
245	0.2984284012
246	0.2980298193
247	0.2975098916
248	0.2969221801
249	0.2962525238
250	0.2952673131
251	0.2951958817
252	0.2944693659
253	0.2939504215
254	0.2933090337
255	0.2924628697
256	0.2921180286
257	0.2916182441
258	0.2906901676
259	0.289610277
260	0.288554635
261	0.2880173331
262	0.2878233241
263	0.2870309183
264	0.2866798446
265	0.2857748347
266	0.2851182241
267	0.2845464855
268	0.2840621207
269	0.2836109405
270	0.2826664841
271	0.2821738485
272	0.2816359004
273	0.2811373322
274	0.2810143245
275	0.2807760778
276	0.2799616289
277	0.2794231313
278	0.2789916516
279	0.2784335547
280	0.2781883408
281	0.2777326786
282	0.2771630113
283	0.2763320815
284	0.2754545693
285	0.2749299302
286	0.2742202046
287	0.2733297265
288	0.2727957813
289	0.2719590875
290	0.2716395775
291	0.2713080612
292	0.2707641237
293	0.2700940364
294	0.2696732599
295	0.2689707812
296	0.2683594944
297	0.2676634005
298	0.2669446454
299	0.2665989414
300	0.2663112983
301	0.2657317024
302	0.2651784851
303	0.264132204
304	0.2633843029
305	0.26294573
306	0.2624574576
307	0.2617943683
308	0.2607588603
309	0.2603147123
310	0.2597223082
311	0.2593434617
312	0.2586792974
313	0.2581066097
314	0.2578303318
315	0.2575476391
316	0.2573340483
317	0.2569545266
318	0.2566932513
319	0.2561715881
320	0.2559115073
321	0.2552178619
322	0.2544456993
323	0.2538181357
324	0.2533330861
325	0.252742647
326	0.2521532546
327	0.251762612
328	0.2511963708
329	0.2506131933
330	0.2503246094
331	0.2501743047
332	0.2500975354
333	0.2495542278
334	0.2486200577
335	0.2482249019
336	0.2481065618
337	0.247675456
338	0.2468779339
339	0.2467621331
340	0.2465961027
341	0.2462847308
342	0.2458995166
343	0.2456420434
344	0.245442962
345	0.2450545469
346	0.244509622
347	0.2441891129
348	0.2437694793
349	0.2432968372
350	0.2430902473
351	0.2424737944
352	0.2419079382
353	0.2411937416
354	0.2408411213
355	0.2403922405
356	0.2399605723
357	0.2396064727
358	0.2392259661
359	0.23911425
360	0.2384764699
361	0.2380130885
362	0.2377539933
363	0.2372739092
364	0.2369140194
365	0.2365429476
366	0.2359649208
367	0.235825534
368	0.2355234631
369	0.2350187778
370	0.2347780605
371	0.2345251234
372	0.2341643189
373	0.2334976548
374	0.2332309115
375	0.2328525934
376	0.2325139238
377	0.232125035
378	0.2314870407
379	0.2311236475
380	0.2305381913
381	0.2296242688
382	0.2292179388
383	0.228967401
384	0.228637382
385	0.2284912663
386	0.2280796631
387	0.227816944
388	0.2275708871
389	0.227247213
390	0.2269970464
391	0.2263822053
392	0.2258921006
393	0.2253150157
394	0.224942924
395	0.2243613995
396	0.2240054865
397	0.2236340783
398	0.2230977152
399	0.2228724302
400	0.2225068496
401	0.2221967104
402	0.2218428716
403	0.221640551
404	0.2212237808
405	0.2207018418
406	0.2204523634
407	0.2199636601
408	0.2198151047
409	0.2196174745
410	0.2194815612
411	0.2191385674
412	0.2189854058
413	0.2185509049
414	0.2183359768
415	0.2179289293
416	0.2176082139
417	0.2174258184
418	0.2171384892
419	0.2164445406
420	0.2163350552
421	0.2161315522
422	0.2157619233
423	0.2154055603
424	0.2149595532
425	0.2146001405
426	0.2143749524
427	0.2140925663
428	0.2137927514
429	0.2135151049
430	0.2133045204
431	0.213032174
432	0.2126124132
433	0.2122801124
434	0.2120148297
435	0.211565055
436	0.2109231668
437	0.210660697
438	0.2099125205
439	0.2097143837
440	0.2093174531
441	0.2088970561
442	0.2084448839
443	0.2082070152
444	0.207886313
445	0.2076103952
446	0.2072050423
447	0.2069010996
448	0.2065792881
449	0.2063762857
450	0.205954678
451	0.2057285363
452	0.2053915792
453	0.2049689954
454	0.204616586
455	0.2043930405
456	0.2042378604
457	0.2037827492
458	0.2031891342
459	0.2029440457
460	0.2027040608
461	0.2024315902
462	0.2022037132
463	0.2017698203
464	0.2015943391
465	0.2011507761
466	0.2007774693
467	0.2001643045
468	0.1999367116
469	0.1994942864
470	0.1992864578
471	0.1991035832
472	0.1987439408
473	0.1983509642
474	0.1980751585
475	0.1976551436
476	0.1973166798
477	0.1969689039
478	0.196780441
479	0.1962266179
480	0.1961137664
481	0.195953192
482	0.1956720006
483	0.1954373779
484	0.1949794791
485	0.1947393477
486	0.1946188537
487	0.1942150368
488	0.1939506892
489	0.1937740971
490	0.1935236641
491	0.1930439073
492	0.1927595216
493	0.1922327549
494	0.1919314664
495	0.1917267833
496	0.1914029735
497	0.1908975086
498	0.1906191724
499	0.1901503571
500	0.1896459762
501	0.1895041443
502	0.1892775188
503	0.1890478497
504	0.1888040855
505	0.1886763279
506	0.1884785878
507	0.1880624019
508	0.1878511997
509	0.1876943125
510	0.1874280513
511	0.1872809924
512	0.18689787
513	0.1867471828
514	0.186596776
515	0.1865079535
516	0.1862667574
517	0.1859528745
518	0.1858950871
519	0.1856440356
520	0.1853793771
521	0.1850409539
522	0.1846107897
523	0.1843449465
524	0.1840751083
525	0.1838592177
526	0.1836720221
527	0.1834609801
528	0.1833467746
529	0.1833152101
530	0.1831728505
531	0.1831461372
532	0.1829877767
533	0.1826673468
534	0.1823879935
535	0.1822157359
536	0.1815747134
537	0.181234538
538	0.1809663205
539	0.1808582925
540	0.180535609
541	0.1802761502
542	0.1801371734
543	0.1797821677
544	0.1795211451
545	0.1794391254
546	0.1791288442
547	0.1789365495
548	0.1786710151
549	0.1784400234
550	0.1781700816
551	0.1779697745
552	0.1777336087
553	0.1775351674
554	0.1774341078
555	0.1770754823
556	0.1768476983
557	0.1768292073
558	0.1766014856
559	0.1764614273
560	0.1762322237
561	0.1758813976
562	0.1756317364
563	0.1754084206
564	0.1751983275
565	0.1747663815
566	0.1745377096
567	0.1743138491
568	0.1741585326
569	0.1739538843
570	0.1736945606
571	0.173466189
572	0.1733502196
573	0.1730247339
574	0.1727211435
575	0.17254579
576	0.1722043871
577	0.172099466
578	0.1717060656
579	0.1714485939
580	0.1713725416
581	0.1711593646
582	0.170954665
583	0.170814845
584	0.1706189044
585	0.1704630485
586	0.1701611238
587	0.1699886703
588	0.1698986447
589	0.169526562
590	0.1694232218
591	0.1692892031
592	0.1690983735
593	0.168840128
594	0.1687169896
595	0.1684491352
596	0.168422792
597	0.1682672271
598	0.1679511003
599	0.1676272309
600	0.1674083249
601	0.1671708878
602	0.1668438855
603	0.1666520361
604	0.1662260503
605	0.1660348872
606	0.1657230709
607	0.1654909199
608	0.1654745124
609	0.1652296535
610	0.1647517497
611	0.1645871983
612	0.1643834308
613	0.1642573439
614	0.1639000181
615	0.1638132335
616	0.1636883133
617	0.1632637149
618	0.1631721154
619	0.1628116225
620	0.1623796744
621	0.1621854155
622	0.1620136109
623	0.1617041845
624	0.1613745505
625	0.1611584313
626	0.1609572013
627	0.1608874882
628	0.1606130097
629	0.1603834889
630	0.1601282022
631	0.1597156881
632	0.1595670161
633	0.1592694102
634	0.1590229164
635	0.1588938132
636	0.1587454897
637	0.1585886627
638	0.1581535014
639	0.158004444
640	0.1579199005
641	0.1576057562
642	0.1573913492
643	0.1571617302
644	0.1570006223
645	0.1565008158
646	0.1563749297
647	0.156005849
648	0.155915107
649	0.1557371719
650	0.1556899969
651	0.1553240882
652	0.1550790412
653	0.1549669089
654	0.1546869042
655	0.1545937861
656	0.1544321869
657	0.1542359493
658	0.1541215553
659	0.154012524
660	0.1537055375
661	0.1532680454
662	0.1530735272
663	0.1526355407
664	0.1524748759
665	0.1524127635
666	0.152141799
667	0.1519214028
668	0.1517774953
669	0.151549476
670	0.1512804581
671	0.1512551827
672	0.1510929701
673	0.15094668
674	0.1507054269
675	0.1506149011
676	0.1502391114
677	0.1500479209
678	0.1498199362
679	0.1495020258
680	0.1493453692
681	0.1491691643
682	0.1489892633
683	0.148860307
684	0.1485984905
685	0.1483893012
686	0.1482010968
687	0.1479328789
688	0.1475382493
689	0.14749764
690	0.1471427743
691	0.1469926146
692	0.1468156436
693	0.1464560721
694	0.1462012381
695	0.1459952474
696	0.1457592184
697	0.1455631408
698	0.14540756
699	0.1453079957
700	0.1452199562
701	0.145168106
702	0.1450604145
703	0.1450069574
704	0.1448885137
705	0.1447381488
706	0.1446471097
707	0.1444404441
708	0.1443782998
709	0.1440472754
710	0.1438598641
711	0.1437559844
712	0.1436678137
713	0.1434707122
714	0.143354055
715	0.1432351681
716	0.1428528445
