iter	Passed	Remaining
647	16475	1754
648	16502	1729
649	16527	1703
650	16551	1678
651	16577	1652
652	16604	1627
653	16629	1601
654	16654	1576
655	16680	1551
656	16705	1525
657	16731	1500
658	16756	1474
659	16779	1449
660	16806	1423
661	16832	1398
662	16856	1372
663	16883	1347
664	16908	1322
665	16933	1296
666	16958	1271
667	16983	1245
668	17009	1220
669	17034	1194
670	17062	1169
671	17087	1144
672	17111	1118
673	17137	1093
674	17161	1067
675	17188	1042
676	17213	1017
677	17240	991
678	17265	966
679	17290	940
680	17316	915
681	17340	889
682	17365	864
683	17390	838
684	17414	813
685	17441	788
686	17465	762
687	17490	737
688	17516	711
689	17541	686
690	17567	661
691	17595	635
692	17620	610
693	17645	584
694	17673	559
695	17698	533
696	17722	508
697	17747	483
698	17772	457
699	17796	432
700	17821	406
701	17846	381
702	17870	355
703	17894	330
704	17920	305
705	17945	279
706	17972	254
707	17998	228
708	18021	203
709	18045	177
710	18070	152
711	18096	127
712	18121	101
713	18148	76
714	18174	50
715	18198	25
716	18225	0
